note_id,athlete_id,date,note_type,note_text
CN000041,A0007,2024-10-27,technical,Stride rhythm is more consistent.
CN000042,A0007,2023-06-08,medical,No adverse response after return-to-run work.
CN000043,A0007,2022-03-16,medical,Monitor lower limb tightness after speed sessions.
CN000044,A0007,2021-10-30,medical,Monitor lower limb tightness after speed sessions.
CN000045,A0008,2023-08-27,selection,Needs one more strong result before final selection.
CN000046,A0008,2022-06-28,medical,Monitor lower limb tightness after speed sessions.
CN000047,A0008,2024-08-28,psychological,Maintains focus under race rehearsal.
CN000048,A0008,2023-04-20,technical,Needs better bend running mechanics.
CN000049,A0008,2024-06-06,selection,Tracking positively for regional team consideration.
CN000050,A0008,2024-09-22,technical,Transition into upright posture is cleaner.
CN000051,A0009,2020-05-22,selection,Needs one more strong result before final selection.
CN000052,A0009,2024-10-18,technical,Transition into upright posture is cleaner.
CN000053,A0009,2021-04-12,strategy,Taper response appears positive.
CN000054,A0009,2024-09-28,medical,Continue mobility focus and load management.
CN000055,A0009,2021-01-26,strategy,Race modeling should emphasize controlled first half.
CN000056,A0009,2020-04-03,psychological,Maintains focus under race rehearsal.
CN000057,A0010,2022-05-15,technical,Needs better bend running mechanics.
CN000058,A0010,2020-10-25,medical,No adverse response after return-to-run work.
CN000059,A0010,2024-06-08,selection,Currently on reserve list for championship squad.
CN000060,A0010,2021-04-03,technical,Transition into upright posture is cleaner.
CN000061,A0010,2024-06-03,psychological,"Responds well to clear, direct cues."
CN000062,A0010,2021-06-19,psychological,Confidence building ahead of competition window.
CN000063,A0010,2022-01-28,psychological,Needs calmer start routine.
CN000064,A0010,2020-03-03,psychological,"Responds well to clear, direct cues."
CN000065,A0011,2020-05-09,selection,Currently on reserve list for championship squad.
CN000066,A0011,2022-06-04,psychological,Needs calmer start routine.
CN000067,A0011,2024-11-26,medical,Recovery plan followed well this week.
CN000068,A0011,2021-05-11,psychological,Needs calmer start routine.
CN000069,A0011,2020-01-08,strategy,Taper response appears positive.
CN000070,A0012,2023-12-18,strategy,Selection window should prioritize consistency.
CN000071,A0012,2024-03-03,selection,Showing enough consistency for relay pool consideration.
CN000072,A0012,2020-10-17,psychological,Needs calmer start routine.
CN000073,A0012,2020-06-08,medical,Continue mobility focus and load management.
CN000074,A0012,2024-06-25,strategy,Selection window should prioritize consistency.
CN000075,A0012,2022-01-05,psychological,Confidence building ahead of competition window.
CN000076,A0012,2021-11-03,technical,Transition into upright posture is cleaner.
CN000077,A0013,2022-04-01,technical,Stride rhythm is more consistent.
CN000078,A0013,2020-12-01,strategy,Shift focus to primary event for next cycle.
CN000079,A0013,2024-02-26,technical,Stride rhythm is more consistent.
CN000080,A0013,2020-11-29,medical,No adverse response after return-to-run work.
CN000081,A0013,2022-05-05,psychological,Needs calmer start routine.
CN000082,A0013,2024-09-30,psychological,Confidence building ahead of competition window.
CN000083,A0013,2020-11-28,medical,No adverse response after return-to-run work.
CN000084,A0013,2024-06-14,technical,Drive phase improving.
CN000085,A0014,2020-02-07,medical,Continue mobility focus and load management.
CN000086,A0014,2023-06-23,psychological,"Responds well to clear, direct cues."
CN000087,A0014,2023-06-26,strategy,Taper response appears positive.
CN000088,A0014,2020-01-19,psychological,"Responds well to clear, direct cues."
CN000089,A0014,2020-11-19,selection,Tracking positively for regional team consideration.
CN000090,A0014,2021-06-29,technical,Stride rhythm is more consistent.
CN000091,A0014,2023-07-04,technical,Stride rhythm is more consistent.
CN000092,A0014,2022-07-25,strategy,Taper response appears positive.
CN000093,A0015,2023-04-19,psychological,"Responds well to clear, direct cues."
CN000094,A0015,2022-09-10,technical,Drive phase improving.
CN000095,A0015,2023-11-11,medical,Recovery plan followed well this week.
CN000096,A0015,2023-06-23,technical,Drive phase improving.
CN000097,A0015,2021-11-12,medical,Monitor lower limb tightness after speed sessions.
CN000098,A0015,2022-06-06,psychological,"Responds well to clear, direct cues."
CN000099,A0015,2022-09-18,technical,Needs better bend running mechanics.
CN000100,A0015,2023-12-09,medical,Recovery plan followed well this week.
CN000101,A0016,2023-09-29,medical,Monitor lower limb tightness after speed sessions.
CN000102,A0016,2020-04-25,strategy,Taper response appears positive.
CN000103,A0016,2020-12-29,strategy,Race modeling should emphasize controlled first half.
CN000104,A0016,2022-01-12,medical,No adverse response after return-to-run work.
CN000105,A0016,2022-10-06,medical,Recovery plan followed well this week.
CN000106,A0016,2021-09-19,selection,Showing enough consistency for relay pool consideration.
CN000107,A0016,2022-12-17,psychological,"Responds well to clear, direct cues."
CN000108,A0016,2020-05-29,selection,Currently on reserve list for championship squad.
CN000109,A0017,2023-07-05,selection,Tracking positively for regional team consideration.
CN000110,A0017,2023-03-09,technical,Transition into upright posture is cleaner.
CN000111,A0017,2020-07-21,strategy,Taper response appears positive.
CN000112,A0017,2021-06-14,technical,Needs better bend running mechanics.
CN000113,A0017,2020-09-07,strategy,Race modeling should emphasize controlled first half.
CN000114,A0017,2024-06-07,selection,Tracking positively for regional team consideration.
CN000115,A0017,2023-08-22,psychological,Maintains focus under race rehearsal.
CN000116,A0017,2022-07-12,psychological,Confidence building ahead of competition window.
CN000117,A0018,2020-12-10,medical,Continue mobility focus and load management.
CN000118,A0018,2021-06-09,selection,Tracking positively for regional team consideration.
CN000119,A0018,2023-11-28,technical,Stride rhythm is more consistent.
CN000120,A0018,2022-07-01,selection,Currently on reserve list for championship squad.
CN000121,A0018,2022-10-02,strategy,Selection window should prioritize consistency.
CN000122,A0018,2022-09-09,selection,Tracking positively for regional team consideration.
CN000123,A0019,2024-07-20,medical,Monitor lower limb tightness after speed sessions.
CN000124,A0019,2023-09-09,selection,Showing enough consistency for relay pool consideration.
CN000125,A0019,2020-05-30,psychological,Needs calmer start routine.
CN000126,A0019,2024-01-21,selection,Tracking positively for regional team consideration.
CN000127,A0019,2021-06-16,technical,Needs better bend running mechanics.
CN000128,A0020,2022-07-19,psychological,Needs calmer start routine.
CN000129,A0020,2023-05-27,selection,Needs one more strong result before final selection.
CN000130,A0020,2020-05-18,medical,No adverse response after return-to-run work.
CN000131,A0020,2024-10-04,strategy,Shift focus to primary event for next cycle.
CN000132,A0020,2022-09-23,medical,Recovery plan followed well this week.
CN000133,A0020,2022-03-15,strategy,Shift focus to primary event for next cycle.
CN000134,A0021,2024-01-17,strategy,Shift focus to primary event for next cycle.
CN000135,A0021,2023-02-12,medical,Continue mobility focus and load management.
CN000136,A0021,2020-12-14,technical,Stride rhythm is more consistent.
CN000137,A0021,2021-08-29,strategy,Shift focus to primary event for next cycle.
CN000138,A0021,2021-12-14,psychological,Confidence building ahead of competition window.
CN000139,A0021,2020-01-23,psychological,Confidence building ahead of competition window.
CN000140,A0021,2024-08-12,medical,Monitor lower limb tightness after speed sessions.
CN000141,A0022,2023-10-28,selection,Needs one more strong result before final selection.
CN000142,A0022,2022-05-20,strategy,Shift focus to primary event for next cycle.
CN000143,A0022,2021-08-06,strategy,Selection window should prioritize consistency.
CN000144,A0022,2023-06-13,psychological,Confidence building ahead of competition window.
CN000145,A0022,2022-09-17,psychological,"Responds well to clear, direct cues."
CN000146,A0022,2024-06-30,strategy,Race modeling should emphasize controlled first half.
CN000147,A0023,2022-07-04,medical,Monitor lower limb tightness after speed sessions.
CN000148,A0023,2022-11-06,technical,Transition into upright posture is cleaner.
CN000149,A0023,2021-02-09,selection,Currently on reserve list for championship squad.
CN000150,A0023,2024-09-26,medical,Recovery plan followed well this week.
CN000151,A0023,2023-08-14,selection,Currently on reserve list for championship squad.
CN000152,A0024,2023-11-06,strategy,Race modeling should emphasize controlled first half.
CN000153,A0024,2022-03-08,selection,Tracking positively for regional team consideration.
CN000154,A0024,2023-01-29,psychological,Needs calmer start routine.
CN000155,A0024,2022-03-15,selection,Needs one more strong result before final selection.
CN000156,A0024,2022-09-18,technical,Stride rhythm is more consistent.
CN000157,A0024,2024-04-21,strategy,Selection window should prioritize consistency.
CN000158,A0024,2020-07-10,psychological,"Responds well to clear, direct cues."
CN000159,A0025,2020-07-13,strategy,Taper response appears positive.
CN000160,A0025,2020-09-27,medical,Continue mobility focus and load management.
CN000161,A0025,2021-04-06,psychological,"Responds well to clear, direct cues."
CN000162,A0025,2024-01-01,technical,Transition into upright posture is cleaner.
CN000163,A0025,2023-04-26,selection,Currently on reserve list for championship squad.
CN000164,A0025,2023-07-01,selection,Needs one more strong result before final selection.
CN000165,A0025,2022-04-23,medical,Recovery plan followed well this week.
CN000166,A0025,2021-12-10,technical,Stride rhythm is more consistent.
CN000167,A0026,2021-05-16,strategy,Race modeling should emphasize controlled first half.
CN000168,A0026,2021-02-07,strategy,Selection window should prioritize consistency.
CN000169,A0026,2020-11-15,selection,Needs one more strong result before final selection.
CN000170,A0026,2024-05-26,technical,Needs better bend running mechanics.
CN000171,A0026,2023-12-20,selection,Showing enough consistency for relay pool consideration.
CN000172,A0026,2024-08-12,psychological,Needs calmer start routine.
CN000173,A0027,2021-12-20,technical,Stride rhythm is more consistent.
CN000174,A0027,2021-07-01,strategy,Shift focus to primary event for next cycle.
CN000175,A0027,2020-03-01,selection,Currently on reserve list for championship squad.
CN000176,A0027,2023-03-28,technical,Transition into upright posture is cleaner.
CN000177,A0027,2023-11-26,psychological,Maintains focus under race rehearsal.
CN000178,A0028,2024-04-27,selection,Currently on reserve list for championship squad.
CN000179,A0028,2021-03-28,medical,Recovery plan followed well this week.
CN000180,A0028,2024-10-15,technical,Needs better bend running mechanics.
CN000181,A0028,2020-06-14,psychological,Confidence building ahead of competition window.
CN000182,A0028,2020-03-09,strategy,Selection window should prioritize consistency.
CN000183,A0028,2024-12-17,psychological,Maintains focus under race rehearsal.
CN000184,A0028,2023-05-03,medical,Recovery plan followed well this week.
CN000185,A0029,2020-07-28,selection,Showing enough consistency for relay pool consideration.
CN000186,A0029,2023-10-17,psychological,Confidence building ahead of competition window.
CN000187,A0029,2020-10-11,technical,Drive phase improving.
CN000188,A0029,2023-06-28,medical,Recovery plan followed well this week.
CN000189,A0029,2022-01-11,strategy,Shift focus to primary event for next cycle.
CN000190,A0030,2024-07-27,psychological,Maintains focus under race rehearsal.
CN000191,A0030,2020-11-14,technical,Transition into upright posture is cleaner.
CN000192,A0030,2023-07-26,technical,Needs better bend running mechanics.
CN000193,A0030,2023-09-06,strategy,Shift focus to primary event for next cycle.
CN000194,A0030,2024-07-19,medical,Monitor lower limb tightness after speed sessions.
CN000195,A0031,2024-05-17,strategy,Taper response appears positive.
CN000196,A0031,2020-04-21,psychological,Confidence building ahead of competition window.
CN000197,A0031,2020-08-01,psychological,Confidence building ahead of competition window.
CN000198,A0031,2022-09-15,technical,Needs better bend running mechanics.
CN000199,A0031,2022-02-25,psychological,Maintains focus under race rehearsal.
CN000200,A0031,2020-10-04,selection,Needs one more strong result before final selection.
CN000201,A0031,2023-02-04,psychological,Confidence building ahead of competition window.
CN000202,A0031,2020-04-14,medical,Recovery plan followed well this week.
CN000203,A0032,2021-07-06,medical,No adverse response after return-to-run work.
CN000204,A0032,2024-04-07,medical,Continue mobility focus and load management.
CN000205,A0032,2022-07-19,psychological,Maintains focus under race rehearsal.
CN000206,A0032,2024-04-03,strategy,Race modeling should emphasize controlled first half.
CN000207,A0032,2022-07-11,psychological,Confidence building ahead of competition window.
CN000208,A0033,2024-02-18,selection,Currently on reserve list for championship squad.
CN000209,A0033,2024-09-13,psychological,Needs calmer start routine.
CN000210,A0033,2022-07-10,strategy,Shift focus to primary event for next cycle.
CN000211,A0033,2021-10-22,selection,Showing enough consistency for relay pool consideration.
CN000212,A0033,2022-04-11,strategy,Shift focus to primary event for next cycle.
CN000213,A0033,2022-11-01,technical,Transition into upright posture is cleaner.
CN000214,A0033,2023-07-27,strategy,Shift focus to primary event for next cycle.
CN000215,A0034,2020-09-16,medical,Monitor lower limb tightness after speed sessions.
CN000216,A0034,2024-02-18,medical,Continue mobility focus and load management.
CN000217,A0034,2024-02-16,psychological,Needs calmer start routine.
CN000218,A0034,2024-02-06,technical,Transition into upright posture is cleaner.
CN000219,A0034,2020-04-11,strategy,Shift focus to primary event for next cycle.
CN000220,A0035,2021-05-25,selection,Showing enough consistency for relay pool consideration.
CN000221,A0035,2021-06-17,technical,Transition into upright posture is cleaner.
CN000222,A0035,2021-02-16,strategy,Selection window should prioritize consistency.
CN000223,A0035,2020-11-18,strategy,Selection window should prioritize consistency.
CN000224,A0035,2024-08-30,strategy,Shift focus to primary event for next cycle.
CN000225,A0035,2022-07-31,psychological,Needs calmer start routine.
CN000226,A0036,2023-10-01,technical,Drive phase improving.
CN000227,A0036,2023-10-09,selection,Needs one more strong result before final selection.
CN000228,A0036,2022-06-07,medical,Monitor lower limb tightness after speed sessions.
CN000229,A0036,2023-08-25,technical,Drive phase improving.
CN000230,A0036,2023-05-13,strategy,Race modeling should emphasize controlled first half.
CN000231,A0036,2023-02-18,selection,Currently on reserve list for championship squad.
CN000232,A0036,2022-12-28,medical,Monitor lower limb tightness after speed sessions.
CN000233,A0036,2020-05-19,selection,Currently on reserve list for championship squad.
CN000234,A0037,2022-04-24,medical,No adverse response after return-to-run work.
CN000235,A0037,2022-05-26,technical,Stride rhythm is more consistent.
CN000236,A0037,2024-09-19,medical,Recovery plan followed well this week.
CN000237,A0037,2023-07-23,selection,Showing enough consistency for relay pool consideration.
CN000238,A0037,2021-06-05,technical,Needs better bend running mechanics.
CN000239,A0037,2024-12-30,medical,Monitor lower limb tightness after speed sessions.
CN000240,A0038,2021-06-16,strategy,Selection window should prioritize consistency.
CN000241,A0038,2021-11-12,medical,No adverse response after return-to-run work.
CN000242,A0038,2024-11-14,strategy,Shift focus to primary event for next cycle.
CN000243,A0038,2024-12-01,psychological,Needs calmer start routine.
CN000244,A0038,2023-06-18,medical,Continue mobility focus and load management.
CN000245,A0038,2022-05-30,psychological,"Responds well to clear, direct cues."
CN000246,A0038,2020-06-19,psychological,"Responds well to clear, direct cues."
CN000247,A0038,2022-09-17,technical,Drive phase improving.
CN000248,A0039,2023-03-31,psychological,"Responds well to clear, direct cues."
CN000249,A0039,2024-06-04,selection,Needs one more strong result before final selection.
CN000250,A0039,2022-03-21,medical,Continue mobility focus and load management.
CN000251,A0039,2023-01-03,psychological,Confidence building ahead of competition window.
CN000252,A0039,2024-11-22,psychological,Confidence building ahead of competition window.
CN000253,A0039,2023-12-21,technical,Transition into upright posture is cleaner.
CN000254,A0040,2024-10-14,psychological,"Responds well to clear, direct cues."
CN000255,A0040,2023-09-19,strategy,Race modeling should emphasize controlled first half.
CN000256,A0040,2020-12-27,technical,Stride rhythm is more consistent.
CN000257,A0040,2020-08-02,technical,Transition into upright posture is cleaner.
CN000258,A0040,2022-05-15,psychological,Needs calmer start routine.
CN000259,A0040,2022-04-21,medical,Monitor lower limb tightness after speed sessions.
CN000260,A0040,2023-08-06,medical,Monitor lower limb tightness after speed sessions.
CN000261,A0040,2022-07-22,technical,Stride rhythm is more consistent.
CN000262,A0041,2022-07-03,strategy,Taper response appears positive.
CN000263,A0041,2022-08-09,selection,Tracking positively for regional team consideration.
CN000264,A0041,2022-12-07,strategy,Shift focus to primary event for next cycle.
CN000265,A0041,2021-11-12,selection,Needs one more strong result before final selection.
CN000266,A0041,2024-09-21,strategy,Race modeling should emphasize controlled first half.
CN000267,A0041,2020-03-01,medical,Recovery plan followed well this week.
CN000268,A0041,2022-11-02,strategy,Selection window should prioritize consistency.
CN000269,A0042,2023-03-12,technical,Stride rhythm is more consistent.
CN000270,A0042,2021-03-03,medical,Continue mobility focus and load management.
CN000271,A0042,2021-08-11,selection,Needs one more strong result before final selection.
CN000272,A0042,2021-12-04,technical,Drive phase improving.
CN000273,A0042,2020-11-29,technical,Transition into upright posture is cleaner.
CN000274,A0042,2022-08-01,psychological,Needs calmer start routine.
CN000275,A0042,2023-01-15,selection,Needs one more strong result before final selection.
CN000276,A0042,2023-09-28,technical,Transition into upright posture is cleaner.
CN000277,A0043,2021-07-04,selection,Currently on reserve list for championship squad.
CN000278,A0043,2023-12-14,technical,Drive phase improving.
CN000279,A0043,2020-09-26,psychological,Confidence building ahead of competition window.
CN000280,A0043,2023-08-17,strategy,Race modeling should emphasize controlled first half.
CN000281,A0043,2024-04-06,psychological,Needs calmer start routine.
CN000282,A0043,2021-05-12,selection,Tracking positively for regional team consideration.
CN000283,A0043,2023-10-27,selection,Tracking positively for regional team consideration.
CN000284,A0044,2023-07-24,strategy,Taper response appears positive.
CN000285,A0044,2022-06-08,technical,Needs better bend running mechanics.
CN000286,A0044,2024-08-19,strategy,Race modeling should emphasize controlled first half.
CN000287,A0044,2023-04-09,psychological,Confidence building ahead of competition window.
CN000288,A0044,2023-11-01,strategy,Shift focus to primary event for next cycle.
CN000289,A0045,2021-04-03,technical,Needs better bend running mechanics.
CN000290,A0045,2021-02-12,strategy,Race modeling should emphasize controlled first half.
CN000291,A0045,2020-12-05,selection,Showing enough consistency for relay pool consideration.
CN000292,A0045,2020-11-26,selection,Needs one more strong result before final selection.
CN000293,A0045,2021-10-18,strategy,Shift focus to primary event for next cycle.
CN000294,A0045,2023-01-24,psychological,"Responds well to clear, direct cues."
CN000295,A0045,2023-03-09,psychological,Confidence building ahead of competition window.
CN000296,A0045,2020-05-09,technical,Needs better bend running mechanics.
CN000297,A0046,2023-12-19,technical,Transition into upright posture is cleaner.
CN000298,A0046,2022-02-07,medical,No adverse response after return-to-run work.
CN000299,A0046,2020-11-19,selection,Showing enough consistency for relay pool consideration.
CN000300,A0046,2020-08-22,psychological,Needs calmer start routine.
CN000301,A0046,2024-09-14,selection,Needs one more strong result before final selection.
CN000302,A0046,2023-12-07,strategy,Selection window should prioritize consistency.
CN000303,A0046,2022-11-30,psychological,"Responds well to clear, direct cues."
CN000304,A0047,2020-06-23,selection,Tracking positively for regional team consideration.
CN000305,A0047,2020-08-01,strategy,Race modeling should emphasize controlled first half.
CN000306,A0047,2023-12-01,psychological,Confidence building ahead of competition window.
CN000307,A0047,2020-03-09,psychological,Needs calmer start routine.
CN000308,A0047,2021-09-26,selection,Tracking positively for regional team consideration.
CN000309,A0047,2023-09-21,psychological,"Responds well to clear, direct cues."
CN000310,A0047,2023-02-17,technical,Needs better bend running mechanics.
CN000311,A0048,2023-03-21,psychological,Confidence building ahead of competition window.
CN000312,A0048,2021-12-16,technical,Drive phase improving.
CN000313,A0048,2024-05-24,technical,Stride rhythm is more consistent.
CN000314,A0048,2022-12-03,medical,Continue mobility focus and load management.
CN000315,A0048,2021-12-21,psychological,Maintains focus under race rehearsal.
CN000316,A0048,2023-02-08,selection,Tracking positively for regional team consideration.
CN000317,A0048,2020-01-21,technical,Transition into upright posture is cleaner.
CN000318,A0049,2022-02-16,psychological,Maintains focus under race rehearsal.
CN000319,A0049,2021-10-02,medical,Continue mobility focus and load management.
CN000320,A0049,2024-09-17,selection,Tracking positively for regional team consideration.
CN000321,A0049,2020-11-01,medical,Monitor lower limb tightness after speed sessions.
CN000322,A0049,2021-03-28,selection,Currently on reserve list for championship squad.
CN000323,A0049,2023-11-24,medical,No adverse response after return-to-run work.
CN000324,A0049,2020-12-02,medical,Monitor lower limb tightness after speed sessions.
CN000325,A0050,2023-09-10,medical,Monitor lower limb tightness after speed sessions.
CN000326,A0050,2021-06-19,psychological,"Responds well to clear, direct cues."
CN000327,A0050,2022-10-28,selection,Tracking positively for regional team consideration.
CN000328,A0050,2024-07-27,selection,Tracking positively for regional team consideration.
CN000329,A0050,2020-01-26,selection,Tracking positively for regional team consideration.
CN000330,A0051,2022-12-16,technical,Transition into upright posture is cleaner.
CN000331,A0051,2021-07-28,psychological,"Responds well to clear, direct cues."
CN000332,A0051,2021-05-12,selection,Needs one more strong result before final selection.
CN000333,A0051,2021-07-14,medical,Monitor lower limb tightness after speed sessions.
CN000334,A0051,2020-03-18,medical,Monitor lower limb tightness after speed sessions.
CN000335,A0052,2021-09-27,technical,Stride rhythm is more consistent.
CN000336,A0052,2024-03-05,medical,Monitor lower limb tightness after speed sessions.
CN000337,A0052,2022-09-07,selection,Tracking positively for regional team consideration.
CN000338,A0052,2024-11-13,psychological,Maintains focus under race rehearsal.
CN000339,A0052,2021-08-31,psychological,Maintains focus under race rehearsal.
CN000340,A0052,2023-03-27,selection,Currently on reserve list for championship squad.
CN000341,A0052,2021-10-02,medical,Continue mobility focus and load management.
CN000342,A0052,2020-06-05,technical,Transition into upright posture is cleaner.
CN000343,A0053,2024-01-17,technical,Transition into upright posture is cleaner.
CN000344,A0053,2020-10-02,selection,Needs one more strong result before final selection.
CN000345,A0053,2022-09-25,selection,Tracking positively for regional team consideration.
CN000346,A0053,2021-06-15,technical,Transition into upright posture is cleaner.
CN000347,A0053,2022-11-06,medical,No adverse response after return-to-run work.
CN000348,A0053,2021-01-05,technical,Transition into upright posture is cleaner.
CN000349,A0053,2021-04-14,selection,Currently on reserve list for championship squad.
CN000350,A0054,2023-06-07,medical,Recovery plan followed well this week.
CN000351,A0054,2021-10-19,strategy,Race modeling should emphasize controlled first half.
CN000352,A0054,2024-06-19,selection,Currently on reserve list for championship squad.
CN000353,A0054,2020-01-10,technical,Stride rhythm is more consistent.
CN000354,A0054,2021-06-11,strategy,Shift focus to primary event for next cycle.
CN000355,A0054,2024-01-20,strategy,Selection window should prioritize consistency.
CN000356,A0054,2020-07-05,strategy,Shift focus to primary event for next cycle.
CN000357,A0054,2024-09-26,psychological,Confidence building ahead of competition window.
CN000358,A0055,2020-09-08,technical,Stride rhythm is more consistent.
CN000359,A0055,2022-10-14,technical,Drive phase improving.
CN000360,A0055,2023-12-19,selection,Tracking positively for regional team consideration.
CN000361,A0055,2021-03-18,selection,Tracking positively for regional team consideration.
CN000362,A0055,2020-08-26,selection,Showing enough consistency for relay pool consideration.
CN000363,A0055,2020-08-07,psychological,"Responds well to clear, direct cues."
CN000364,A0055,2024-07-13,selection,Needs one more strong result before final selection.
CN000365,A0056,2020-05-02,selection,Currently on reserve list for championship squad.
CN000366,A0056,2020-09-10,strategy,Selection window should prioritize consistency.
CN000367,A0056,2024-10-02,psychological,Confidence building ahead of competition window.
CN000368,A0056,2022-07-29,technical,Transition into upright posture is cleaner.
CN000369,A0056,2021-03-26,strategy,Shift focus to primary event for next cycle.
CN000370,A0057,2022-01-10,selection,Tracking positively for regional team consideration.
CN000371,A0057,2023-08-19,strategy,Shift focus to primary event for next cycle.
CN000372,A0057,2021-09-22,technical,Needs better bend running mechanics.
CN000373,A0057,2023-04-22,strategy,Shift focus to primary event for next cycle.
CN000374,A0057,2020-06-01,strategy,Taper response appears positive.
CN000375,A0058,2020-07-05,strategy,Race modeling should emphasize controlled first half.
CN000376,A0058,2020-04-10,technical,Needs better bend running mechanics.
CN000377,A0058,2021-11-02,strategy,Race modeling should emphasize controlled first half.
CN000378,A0058,2021-05-12,selection,Needs one more strong result before final selection.
CN000379,A0058,2024-06-13,medical,Monitor lower limb tightness after speed sessions.
CN000380,A0058,2022-12-23,technical,Needs better bend running mechanics.
CN000381,A0058,2023-01-30,selection,Showing enough consistency for relay pool consideration.
CN000382,A0059,2021-04-19,medical,Monitor lower limb tightness after speed sessions.
CN000383,A0059,2023-05-24,psychological,"Responds well to clear, direct cues."
CN000384,A0059,2021-11-28,selection,Needs one more strong result before final selection.
CN000385,A0059,2021-09-30,medical,Monitor lower limb tightness after speed sessions.
CN000386,A0059,2021-04-10,medical,Monitor lower limb tightness after speed sessions.
CN000387,A0060,2021-09-27,strategy,Taper response appears positive.
CN000388,A0060,2023-07-23,psychological,Maintains focus under race rehearsal.
CN000389,A0060,2023-04-25,strategy,Race modeling should emphasize controlled first half.
CN000390,A0060,2023-05-13,selection,Showing enough consistency for relay pool consideration.
CN000391,A0060,2023-04-16,psychological,Maintains focus under race rehearsal.
CN000392,A0061,2022-12-23,psychological,"Responds well to clear, direct cues."
CN000393,A0061,2024-03-13,medical,No adverse response after return-to-run work.
CN000394,A0061,2023-08-02,selection,Currently on reserve list for championship squad.
CN000395,A0061,2022-12-12,selection,Showing enough consistency for relay pool consideration.
CN000396,A0061,2022-07-24,selection,Tracking positively for regional team consideration.
CN000397,A0062,2022-12-14,selection,Currently on reserve list for championship squad.
CN000398,A0062,2020-01-17,medical,Monitor lower limb tightness after speed sessions.
CN000399,A0062,2023-07-13,psychological,"Responds well to clear, direct cues."
CN000400,A0062,2021-06-07,technical,Transition into upright posture is cleaner.
CN000401,A0062,2021-01-12,psychological,Needs calmer start routine.
CN000402,A0063,2021-01-20,psychological,"Responds well to clear, direct cues."
CN000403,A0063,2021-05-15,strategy,Taper response appears positive.
CN000404,A0063,2021-02-04,psychological,Needs calmer start routine.
CN000405,A0063,2021-07-14,psychological,Maintains focus under race rehearsal.
CN000406,A0063,2022-12-31,medical,No adverse response after return-to-run work.
CN000407,A0063,2022-10-31,technical,Drive phase improving.
CN000408,A0063,2020-07-26,technical,Transition into upright posture is cleaner.
CN000409,A0063,2024-10-11,technical,Stride rhythm is more consistent.
CN000410,A0064,2024-06-24,strategy,Race modeling should emphasize controlled first half.
CN000411,A0064,2024-12-31,strategy,Taper response appears positive.
